,"Episode End Value","action","Nepse Data","Stock price","Date","Normal Investor"
448,16134.4817777778,2,1200.09,415.932592592593,"2018-07-15",15511.5511551142
449,16201.738962963,2,1212.36,414.162666666667,"2018-07-16",15445.5445544542
450,16134.4817777778,2,1204.31,415.932592592593,"2018-07-17",15511.5511551142
451,16100.8531851852,2,1198.77,414.162666666667,"2018-07-18",15445.5445544542
452,16168.1103703704,2,1193.39,413.277703703704,"2018-07-19",15412.5412541241
453,16033.596,2,1181.66,415.04762962963,"2018-07-22",15478.5478547842
454,16100.8531851852,2,1194.5,411.507777777778,"2018-07-23",15346.5346534641
455,16100.8531851852,2,1199.27,413.277703703704,"2018-07-24",15412.5412541241
456,16168.1103703704,2,1194.35,413.277703703704,"2018-07-25",15412.5412541241
457,16201.738962963,2,1191.2,415.04762962963,"2018-07-26",15478.5478547842
458,16100.8531851852,2,1194.82,415.932592592593,"2018-07-29",15511.5511551142
459,16134.4817777778,2,1194.38,413.277703703704,"2018-07-30",15412.5412541241
460,16201.738962963,2,1191.47,414.162666666667,"2018-07-31",15445.5445544542
461,16201.738962963,2,1193.87,415.932592592593,"2018-08-01",15511.5511551142
462,16235.3675555556,2,1191.31,415.932592592593,"2018-08-02",15511.5511551142
463,16100.8531851852,2,1189.88,416.817555555556,"2018-08-05",15544.5544554443
464,16100.8531851852,2,1189.67,413.277703703704,"2018-08-06",15412.5412541241
465,16134.4817777778,2,1188.21,413.277703703704,"2018-08-07",15412.5412541241
466,16100.8531851852,2,1187.32,414.162666666667,"2018-08-08",15445.5445544542
467,16100.8531851852,2,1180.63,413.277703703704,"2018-08-09",15412.5412541241
468,16134.4817777778,2,1163.94,413.277703703704,"2018-08-12",15412.5412541241
469,16235.3675555556,2,1174.37,414.162666666667,"2018-08-13",15445.5445544542
470,16403.5105185185,2,1180.98,416.817555555556,"2018-08-14",15544.5544554443
471,16605.2820740741,0,1209.71,421.24237037037,"2018-08-15",15709.5709570944
472,16605.2820740741,2,1210.32,426.552148148148,"2018-08-16",15907.5907590746
473,16536.254962963,2,1196.29,421.24237037037,"2018-08-19",15709.5709570944
474,16708.8227407408,2,1188.07,419.472444444444,"2018-08-20",15643.5643564343
475,16501.7414074075,2,1183.89,423.897259259259,"2018-08-21",15808.5808580845
476,16467.2278518519,2,1182.42,418.587481481482,"2018-08-22",15610.5610561043
477,16501.7414074075,2,1178.5,417.702518518519,"2018-08-23",15577.5577557743
478,16501.7414074075,2,1175.72,418.587481481482,"2018-08-26",15610.5610561043
479,16501.7414074075,2,1177.09,418.587481481482,"2018-08-28",15610.5610561043
480,16605.2820740741,2,1172.3,418.587481481482,"2018-08-29",15610.5610561043
481,16743.3362962963,2,1181.69,421.24237037037,"2018-08-30",15709.5709570944
482,16915.9040740741,2,1190.28,424.782222222222,"2018-09-02",15841.5841584145
483,16984.9311851852,2,1206.26,429.207037037037,"2018-09-03",16006.6006600647
484,17226.5260740741,2,1210.24,430.976962962963,"2018-09-04",16072.6072607247
485,16915.9040740741,2,1234.13,437.171703703704,"2018-09-05",16303.630363035
486,17019.4447407408,2,1229.77,429.207037037037,"2018-09-06",16006.6006600647
487,16915.9040740741,2,1218.98,431.861925925926,"2018-09-09",16105.6105610548
488,16881.3905185186,2,1210.88,429.207037037037,"2018-09-10",16006.6006600647
489,17088.4718518519,2,1217.65,428.322074074074,"2018-09-11",15973.5973597346
490,17122.9854074075,2,1230.71,433.631851851852,"2018-09-12",16171.6171617148
491,17122.9854074075,2,1244.84,434.516814814815,"2018-09-13",16204.6204620449
492,17122.9854074075,2,1256.53,434.516814814815,"2018-09-16",16204.6204620449
493,17088.4718518519,2,1256.4,434.516814814815,"2018-09-17",16204.6204620449
494,17088.4718518519,0,1258.81,433.631851851852,"2018-09-18",16171.6171617148
